Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Chamorro,1,i Chamorro na nasion,the Chamorro nation,the Chamorro nation,detailed,100.00000000000004,100.0,98.14814814814815
Chamorro,2,Fåttu mågi agupa’ ya bai hu nå’i håo ni malago’-mu.,Come back tomorrow and I will give what you want.,Come here tomorrow and I’ll give you what you want.,detailed,29.982213893423374,63.10935897157167,76.82980599647267
Chamorro,3,Ti u’uchan.,It is no longer raining.,It will not rain.,"**Exploring rain interpretations**

I’m thinking about the expression ""Ti u’uchan,"" which could mean ""It won’t rain."" If referring to the past, you might phrase it as ""Ti ha uchan."" Actually, ""rain"" feels more impersonal, so using ""ti uchan"" makes sense for ""it's not raining."" But the ""u’"" could be a contraction of ""u uchan,"" making ""u’uchan"" mean ""will rain."" So, it’s about expressing the negated future: ""It will not rain."" I’ll deliver that!",10.40059768900531,17.473526071763363,43.31450094161958
Chamorro,4,"Tengnga un butleha i taotåo, pues uttimon-ña asaguå-mu.","Oftentimes you mock the person, then you end up being their spouse (lit. in the end s/he is your spouse).","Be careful not to deceive people, or your spouse will leave you.",detailed,2.821858464047826,17.91932360748593,17.84053928405393
Chamorro,5,Meggai hånum.,There’s a lot of water.,There is a lot of water.,detailed,61.47881529512643,77.4646993300244,74.54289732770746
Chamorro,6,Fatå’chung guennåo ya un ketu.,Sit there and keep still.,Sit like that and be still.,detailed,15.619699684601283,33.36313682419022,51.74180327868852
Chamorro,7,put i lina’la’ yan sinientin i taotåo siha,about the lives and feelings of people,About the lives and feelings of the people.,detailed,46.713797772820016,85.44450101230348,88.15192743764172
Chamorro,8,Chetdan tanduki i mås ya-hu na chotda.,Tanduki banana is my favorite banana.,Plantain bananas are the kind of bananas I like the most.,detailed,3.3864985683445354,30.62472857643566,20.0
Chamorro,9,Manmahulat ham ni mañaina gi hunta.,We (excl.) were subdued by the parents at the meeting.,We were written down by the parents at the meeting.,"**Translating Chamorro**

I need to translate the Chamorro sentence ""Manmahulat."" I think it might be passive or plural? The root, ""mahulat,"" relates to ""to write,"" where ""hulat"" means ""write."" I suspect ""manmahulat"" refers to a plural passive form. The sentence ""Manmahulat ham ni mañaina gi hunta"" likely means ""We were written by the parents at the meeting."" ""Ham"" indicates ""we excluding,"" and ""ni mañaina"" means ""by the parents."" So, it's about being recorded or noted down by them.",46.26266998613165,59.35006792658246,64.47688564476887
Chamorro,10,ginin i asaguå-ña,from his wife,from his wife,detailed,100.00000000000004,100.0,98.14814814814815
