Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,detailed,15.27
Igbo,1,m/mū nà unù,I and you(pl.),I and you (plural).,detailed,74.68
Igbo,2,mÙkpu` àla,landscraper,Earthquake,detailed,6.17
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to put spots on this cloth.,detailed,100.0
Igbo,4,lìdebe nnī,stop eating,Keep the food.,detailed,6.41
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,detailed,31.57
Igbo,6,a sìrì,An unidentified person has said…,It was said.,detailed,16.17
Igbo,7,M̄mū kwa nū,What of me!,I myself.,detailed,5.68
Igbo,8,Ejèrè hà,They went,They went.,detailed,96.17
Igbo,9,îfùk ífûk,He counted.,Puff-puff.,detailed,3.33
Igbo,10,NÙgi` nà nwunyè i wà/wè kà wa chò`,"They want you and your wives, in particular/especially",You and your wife are the ones we are looking for.,detailed,27.31
Igbo,11,O mààrà ihe,He is well informed.,He is wise.,"**Deciding on translation**

I'm considering how to translate ""O maara ihe."" It implies that ""He knew what it was,"" but I think an idiomatic interpretation could be ""He is wise."" The presence of ""ihe"" certainly suggests wisdom, so I'll stick with ""He is wise."" Let's go with that clear and simple output!",21.19
Igbo,12,O bù ihe nà e mè ème,This is something worth doing.,It is something that is done.,detailed,43.69
Igbo,13,O bìela ebè a.,He had (once) lived here.,He has come here.,detailed,25.3
Igbo,14,Àdâ mà mma,Ada is beautiful.,Ada is beautiful.,detailed,100.0
Igbo,15,isī n’EBE,to come from a PLACE,to come from a place,detailed,62.35
Igbo,16,I kwèsì`rì` i`laÛ ùgbu à,You ought to go by now.,You ought to have gone by now.,detailed,67.1
Igbo,17,Ò nwèrè onye sī ebe ahù bi a?,Did anybody come from there?,Is there anyone from that place living here?,detailed,35.42
