Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I don’t like going out.,detailed,19.84
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the ditch deeply.,detailed,35.22
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If we went around to each house, would it work?",detailed,21.37
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Youngsuk, Bokswun, come here.",detailed,59.72
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I do have some money, but I can’t lend you much right now.",detailed,56.84
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you acting like that—who’s pushing you?,detailed,21.66
Korean,6,mo nata,is angular = is difficult in personality,What happened?,"**Translating ""mo nata""**

I need to translate ""mo nata"" from romanization. It might be ""mwo nata,"" which links to phrases like ""emcheng nata"" (enormous) and ""ttwukpyel nata"" (quick-tempered). ""Nata"" could mean ""is"" from the verb ""to appear."" ""Mo"" often corresponds to ""mwo,"" meaning ""what."" So, ""mwo nata"" might translate to ""What comes out?"" or ""What happened?"" As a stand-alone phrase, ""mo nata"" might express ""It is ugly"" or ""What came out?"" My best guess now is ""What happened?""",4.49
Korean,7,silkhum ha-,be dislikable,conduct an experiment,detailed,6.22
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I can’t even put on ten jeon, let alone ten won.",detailed,20.45
Korean,9,Salkem sallye cwii,Save me!,Please let me live.,detailed,13.75
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall I ask whether he’ll sell it?,detailed,41.12
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,(I) couldn’t meet him.,"**Translating Korean phrase**

The romanized Korean ""Ku lul mannaci mOs hayss.ta"" translates to ""I couldn't meet him."" 

I’m realizing that ""Ku"" means ""he"" and ""lul"" is an object marker, while ""mannaci"" comes from the verb ""만나다"" meaning ""to meet,"" with the ""지"" indicating negation, followed by ""못"" for ""can't"" and ""했"" for the past. So, although the user might want additional reasoning, I must stick to just providing the translation.",18.16
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,These days I have no reason to go to Mr. Kim’s house.,detailed,35.55
