Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Korean,0,na-kaki silh.e hata,Hates to go out.,I don't like going.,detailed,8.68
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the trench (ditch) deep.,"{'type': 'summary_text', 'text': '**Translating Romanization**\n\nThe translation of ""Kol ul kiph.kei pha la"" is ""코를 깊게 파라,"" which means ""Dig the ditch deeply."" However, I think there\'s a conflict because the user might want more explanation after the translation, but the developer says to only provide the result. Since the instructions are clear, I\'ll just give the translation. It\'s a bit tricky to manage that expectation while following guidelines!'}",33.69
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If it came out of every house, would that amount to anything?",detailed,14.54
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Yeongsuk, Boksoon, come here!",detailed,40.65
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I have money, but I can’t lend it to you right now.",detailed,80.66
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you like that—who’s pushing you?,detailed,20.3
Korean,6,mo nata,is angular = is difficult in personality,It’s ugly.,detailed,3.45
Korean,7,silkhum ha-,be dislikable,do an experiment,detailed,6.72
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I couldn't even pay ten jeon, let alone ten won.",detailed,22.38
Korean,9,Salkem sallye cwii,Save me!,Tiptoe quietly.,"{'type': 'summary_text', 'text': '**Translating Korean nuances**\n\nI\'m considering the phrase ""살금살금 살려줘,"" which could mean ""Please spare it"" or ""just let it off easy."" The word ""살금살금"" suggests stealthily. So I think ""살금살금 살며시 쥐"" might work, translating to ""Grab it softly, gently."" While breaking it down, ""살며시"" means gently or quietly. I\'m figuring out the nuances and possible mis-typings, but I’ll go with ""Tiptoe quietly"" as a fitting translation for the first word.'}",3.97
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall I ask whether he’ll sell that?,detailed,32.65
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn't meet him.,detailed,18.56
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,These days I have no business going to Mr. Kim’s house.,detailed,29.93
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"If the birds chirp up on the meter, the squirrels come out from under the bridge too.","{'type': 'summary_text', 'text': '**Rephrasing the observation**\n\nI\'m considering the phrase: ""When the birds chirp from the top of the meter, the squirrels also come out from under the bridge."" I wonder if ""meter"" should actually be ""tree,"" but that doesn\'t seem right either. \n\nOkay, let\'s adjust it to: ""If the birds chirp up on the meter, the squirrels come out from under the bridge too."" I think that flows better, so I\'ll go with that!'}",35.44
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The child Elin tried to make the medicine into candy and eat it.,detailed,19.53
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,detailed,71.53
Korean,16,Iss.ulq tey kkaci iss.e pokeyss.ta,I'll try to stick around (stay/wait) as long as I can.,I’ll try to stay as long as I can.,"{'type': 'summary_text', 'text': '**Translating expression**\n\nI\'m thinking about the phrase ""tey kkaci,"" which roughly means ""up to the point where it exists or can be."" I’d translate that to something like, ""I\'ll try to hold out as long as I can."" It seems to have a sense of resilience in it. It’s interesting how language can express such nuanced feelings! Let’s see if there’s more context or layers to explore with it.'}",47.94
Korean,17,Ku i nun slilam ul kiy lo dnun ka pota,He acts as if he thought people were dogs.,It seems that he listens to people with his ears.,detailed,24.96
Korean,18,Nay kes in cwut lo al.ess.la,I took it to be (I thought it was) mine.,I thought it was mine.,detailed,49.55
Korean,19,Namca €lun i w0nun kel' poni ch&m.qa. mds pokeyss.tun tey,But surely I couldn't stand to see a grown man crying!,"Seeing a grown man cry, I really couldn’t bear to watch it.",detailed,39.46
Korean,20,hasikeyss.umyen hasipsio,"If you'd like to do it, please do so.","If you want to do it, please do so.",detailed,68.4
Korean,21,"""il 'lun no 'v kev p+vo'na7""Gv'o kwu'cun ""il 'lun no'm oy key 'cwunu a i","sends good things to me and gives bad things to others,","“As for the job, don’t pick that one—give it to that guy.”",detailed,17.06
Korean,22,Anruli khi ka khutra hay to na mankhurn iya khulla kwu?,"However tall he might be, surely he can't be as tall as I am.","No matter how tall you are, do you think you can understand as much as I do?",detailed,18.38
Korean,23,Ku kes un n0nun tey cinaci anh.nunta,That is nothing but playing!,That amounts to nothing more than playing.,detailed,45.29
Korean,24,Cikum il hanun ci molukeyss.ta,I don't know whether he is working right now or not.,I don't know what I'm doing right now.,detailed,49.2
Korean,25,Ku na ponun silam mata wa tirthwunta,He fights with everyone he sees.,He picks a fight with everyone he sees.,detailed,76.35
Korean,26,Keuy cwuk.keyss.lun sllam i sal.e nass.kwun a,A person about to die came back to life!,The man who was almost dead has come back to life!,detailed,39.51
Korean,27,Cy[y (= ce ry) ka acwu cal hanta 'psiko ppop-ndynts,He puffs himself up thinking/saying that he is doing very well.,That guy does it really well—he picks them out neatly.,detailed,17.06
Korean,28,Ku ka n€y si ccum ey 'na ol'nun ci,Perhaps hc'll be here around tbur o'clock or so.,Whether he comes around four o’clock.,detailed,27.28
Korean,29,ti tpo'l ay,in this village,You idiot.,detailed,4.1
Korean,30,Nw0n i onun ci an onun ci molunta,I don't know whether it is snowing or not.,I don’t know whether anyone is coming or not.,detailed,56.8
Korean,31,"Nul yok hoki lul hayss,ta",He always made insults.,He was always swearing.,detailed,29.36
Korean,32,Ku sllam i kakeyss.ta,I'm afraid he's going.,That person will go.,detailed,9.91
Korean,33,silccwuki saylccwuk ha-,be sullen,be lanky and thin,detailed,9.28
Korean,34,Sensayng nim kkey se n0 hakeyss.nun ci 'lu swukcey lul ta hoy kass.ta,"Wary of the wrath of the teacher, I went through all my homework.",The teacher went after doing all the homework to see whether you would do it.,detailed,37.07
Korean,35,sengnyang-kaypi scy kay,three matches,three matchsticks,detailed,73.38
Korean,36,TOn i minh.ess.ut.nun d lo rnrilla,There may / might have been lots of money.,I don’t know whether there was a lot of money.,detailed,29.64
Korean,37,Illusun c0h.unq yenghwa tla to iss.nun ka yo?,Are there any good movies (on/playing)?,Are there any good movies on Line 1 as well?,detailed,62.65
Korean,38,path ey,in the field,in the field,detailed,100.0
Korean,39,no ha-,get angry,put down / let go,detailed,9.49
Korean,40,I ke(s) pr-l,Look at this!,Look at this!,detailed,100.0
Korean,41,Mdtunq il I crl toye kanta,Everything is going off smoothly.,Everything is going well.,detailed,58.78
