Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Igbo,0,O gà-àzụ̀rụ̀ ya,He is going to buy it for himself.,He will buy it.,detailed,11.4159380681175,15.267677667092796,36.700581395348834
Igbo,1,m/mū nà unù,I and you(pl.),I and you (plural).,detailed,45.499414040480374,74.67961614014177,80.35714285714286
Igbo,2,mÙkpu` àla,landscraper,Earthquake,detailed,0.0,6.172839506172839,0.0
Igbo,3,Achòrò m ìtùpòsì akwa à,I want to put spots on this cloth.,I want to put spots on this cloth.,detailed,100.00000000000004,100.0,99.93141289437585
Igbo,4,lìdebe nnī,stop eating,Keep the food.,detailed,0.0,6.4102564102564115,0.0
Igbo,5,Ō gàala ngwa ǹgwa,He has been there (and back) quickly.,He has gone quickly.,detailed,11.115018927487522,31.56784593656143,39.473684210526315
Igbo,6,a sìrì,An unidentified person has said…,It was said.,detailed,0.0,16.169993165207316,0.0
Igbo,7,M̄mū kwa nū,What of me!,I myself.,detailed,0.0,5.681818181818182,0.0
Igbo,8,Ejèrè hà,They went,They went.,detailed,55.03212081491043,96.17320480751631,89.28571428571429
Igbo,9,îfùk ífûk,He counted.,Puff-puff.,detailed,30.326532985631665,3.3333333333333335,17.241379310344826
Igbo,10,NÙgi` nà nwunyè i wà/wè kà wa chò`,"They want you and your wives, in particular/especially",You and your wife are the ones we are looking for.,detailed,6.772997136689072,27.31179603099684,31.66069295101554
Igbo,11,O mààrà ihe,He is well informed.,He is wise.,"**Deciding on translation**

I'm considering how to translate ""O maara ihe."" It implies that ""He knew what it was,"" but I think an idiomatic interpretation could be ""He is wise."" The presence of ""ihe"" certainly suggests wisdom, so I'll stick with ""He is wise."" Let's go with that clear and simple output!",27.534765745159184,21.188093579674856,52.154195011337855
Igbo,12,O bù ihe nà e mè ème,This is something worth doing.,It is something that is done.,detailed,14.535768424205482,43.68892476834114,51.74180327868852
Igbo,13,O bìela ebè a.,He had (once) lived here.,He has come here.,detailed,12.975849993980747,25.295516505007043,33.18903318903318
