Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Georgian,0,"na+m+q'+o u+srul-i, k'avšir+eb+it-i p'irvel-i sul ar (Ø-)e-c'armo-eb-a-t",The Imperfect Indicative (and) Prešent Subjunctive are simply not formed for them,"The imperfective pluperfect, the first subjunctive, is not formed at all.",detailed,6.285596338261262,39.12172373384977,26.571428571428573
Georgian,1,deda-s ra da-u-rč-a,what did mother have left?,What did mother have left?,detailed,75.98356856515926,94.83192905019531,99.76851851851852
Georgian,2,k'ac-ma še-(Ø-Ø-)a-q'var-eb-in-a tav-i kal-s da še-(Ø-)i-rt-o,the man got the woman to love him and married her.,The man made the woman fall in love with him and married her.,detailed,32.55964126200301,61.68748467441095,79.34426229508196
Georgian,3,švid+i-ode gogo-s/švid+i-ode-s v-(0-)xed-av,I see about 7 girls/about 7,I see about seven girls.,detailed,23.263472697663286,45.88155460986344,62.5
Georgian,4,dinamo+el-eb-ma st'umr-eb-s mo-(?Ø-Ø-)u-g-es or-it=nul-i,Dynamo beat the guests 2-Ø.,The Dynamo players beat the visitors 2–0.,"**Translating Georgian Sentence**

I need to translate a Georgian sentence about Dynamo players and their match against the visitors. The word ""mo-u-ges"" likely means ""defeated"" or ""won against,"" while ""orit=nul-i"" indicates a score of ""two to zero."" So, the translation would be: ""The Dynamo players beat the visitors 2–0."" It’s a bit tricky because typically, I’d want to explain my reasoning, but I’ve been instructed to only provide the translation.",13.134549472120788,38.63367267034864,50.907258064516135
Georgian,5,sa+xalx+o me+urn+e+ob-is sc'rap zrd+a-s tan (?0-}s-d-ev-s m+šr+om+el-ta mat'erial+ur-i m+dg+om+are+ob-is ga+u+m+job+es+eb+a,the rapid growth in people's farming is accompanied by an improvement in the material circumstance of the workers,With the rapid growth of the national economy comes an improvement in the workers’ material conditions.,detailed,22.33954597548931,51.24217599786092,53.478508023962576
Georgian,6,xipat-s (gada-)(Ø-Ø-)rč-eb-i,you (will) survive the danger,You will survive the danger.,detailed,27.48254571080018,69.36431784805757,64.6376811594203
Georgian,7,šen me pul-i mo-(0-0-)m-e-c-i,‘you gave (the) money to me’,You gave me money.,detailed,6.971729121692201,32.734115699729664,33.223684210526315
Georgian,8,erek'le cxen-ze šven-od-a,Erek'le looked resplendent on the horse,Erekle looked handsome on the horse.,detailed,26.269098944241588,49.2458714289888,61.47540983606557
Georgian,9,šv+il-ma mama-s da+u+zar+eb+1-ad mo-u-rb-en-in-a muguzal-i,the child rushed the firebrand hither to (his) father without hesitation,The child shouted to his father and sent the traveller running up to him.,"**Translating Georgian phrases**

I need to translate some Georgian with morphology segmentation. So, šv+il-ma seems to mean ""child-ERG"" (son), and mama-s could be ""father-DAT,"" indicating the dative case. I'm trying to figure out the verb root for ""call"" as da- + u- + zar- + eb?1 + ad, likely meaning ""called."" I suspect the phrase relates to a child calling a traveler to their father, possibly structured as “The child sent the traveler running to his father.”
**Analyzing Georgian verb structure**

I’m figuring out if ""mo-u-rb-en-in-a"" includes the causative ""-in."" It seems like ""-en"" could imply a plural, but the object ""traveler"" is singular, so that's puzzling. Is it possible that the verb ""rb-en"" indicates a plural run? That would mean the causative form might really be saying ""made [them] run up."" But since ""muguzal-i"" is definitively singular, I’m leaning towards other interpretations, like ""gathered"" or another related verb. There’s some ambiguity to sort out!
**Crafting the English translation**

I’m considering a new interpretation for ""mo-u-rb-en-in-a,"" which could mean ""the child had the traveler brought running to his father."" The phrase ""da+u+zar+eb+1-ad"" suggests an adverbial gerund meaning ""calling out."" Essentially, I could say, ""The child brought the traveler running to the father, calling out to him."" I think the most natural English phrasing might be: ""The child summoned the traveler to his father by calling out."" However, I need to present just the translation now.",3.9297193407553013,30.051937242355127,32.30218855218855
Georgian,10,v-(?Ø-)i-sa+rg+eb+l-eb a+m še+mtxv+ev-it,I shall take advantage of this occasion,I will make use of this in this case.,"**Translating Georgian phrases**

I need to translate the Georgian morph string ""v-i-sargebl-eb."" I'm thinking it could mean ""I will make use"" since ""sargebeli"" refers to benefit or usefulness. The verb ""sargeblob"" connects to use or benefit. 

I wonder if ""v-i-sargeb-leb"" is a first-person present tense like ""I benefit,"" but the -leb suffix might indicate plural. The phrase might mean ""I will use this in this case.” Ultimately, I think it conveys the idea of benefiting from an incident.
**Deciphering Georgian morphology**

I'm breaking down the Georgian morph ""v-i-sargebl-eb."" The ""v-"" indicates the first person singular, and ""sargeb"" is the root related to usefulness. 

I think ""isargebleb"" might mean ""you take advantage,"" while ""visargebleb"" probably translates to ""I will take advantage."" There's a possibility that ""v-i-sargebl-eb"" means ""I use."" This can get tricky since future forms often need a preverb. 

In this case, ""I will make use of this in this case"" fits, but I'm conflicted with the instruction to simply state the output.",9.287528999566801,26.958985618961474,27.397260273972602
Georgian,11,pot-sa da odesa-s šoris gem-eb-i da-di-an,boats (regularly) journey between Poti and Odessa,Ships travel between Poti and Odessa.,detailed,30.895757752065425,48.0361423067288,56.59090909090908
Georgian,12,si-garib-e-s mi-g-a-<5v-ev,I shall make you accustomed to poverty,You will get used to poverty.,detailed,13.134549472120794,36.2925478784735,45.08928571428571
Georgian,13,m+sur+v+el-eb-ši moxuc-n-i-c k'i mravl+ad ga-mo-čn-d-a,among those shewing willing there appeared even old folk,"Among the volunteers, even old people turned up in great numbers.","**Deciding on translation output**

The user mentioned a list of volunteers and that elderly people appeared in large numbers. I need to provide a translation: ""Among the volunteers, even old people turned up in great numbers."" However, there's a conflict because the developer requests only the output of the result. So, I guess I'll just go with the translation and skip the reasoning as directed by the developer.",6.178110636313396,29.454633666385632,27.18676122931442
Georgian,14,gana ra ča-v-(Ø-)i-d-in-e i+s+e+t-i?,What on earth did I do of such a kind?!,What have I done that’s so terrible?,detailed,4.408194605881708,18.726205680228666,26.7478813559322
Georgian,15,cot'a gvino (Ø-)gv-a-m+q'+op-in-a junc'-ma,the selfish one judged a little wine to be enough for us,Junct poured us a little wine.,detailed,12.859818292229834,27.24269143616699,32.608695652173914
Georgian,16,kal-s lamaz-i surat-i (Ø-)u-k'id-i-a k'edel-ze,‘the woman has a pretty picture hanging on the wall’,The woman has hung a beautiful picture on the wall.,detailed,11.731175160263996,48.961958215420566,69.14617698931424
Georgian,17,kal-s gul-i c'a-u-vid-a,the woman fainted,The woman's heart sank.,detailed,0.0,36.41234047416289,56.81818181818182
