Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,BLEU,ChrF,METEOR
Korean,0,na-kaki silh.e hata,Hates to go out.,I don't like going.,detailed,10.682175159905853,8.675741048869169,19.607843137254903
Korean,1,Kol ul kiph.kei pha la,Dig the channel deep!,Dig the trench (ditch) deep.,"{'type': 'summary_text', 'text': '**Translating Romanization**\n\nThe translation of ""Kol ul kiph.kei pha la"" is ""코를 깊게 파라,"" which means ""Dig the ditch deeply."" However, I think there\'s a conflict because the user might want more explanation after the translation, but the developer says to only provide the result. Since the instructions are clear, I\'ll just give the translation. It\'s a bit tricky to manage that expectation while following guidelines!'}",12.223075560872525,33.694254340197105,48.218029350104814
Korean,2,Cipcip mata'na na-wass.umyen il i toylq ka,There'd be no problem if people had come from each house.,"If it came out of every house, would that amount to anything?",detailed,2.8398387225677895,14.541154757159319,11.450381679389315
Korean,3,Yengswuk a Pokswun a i-li one la,"Yengswuk and Pokswun, come here.","Yeongsuk, Boksoon, come here!",detailed,24.446151121745054,40.65354289110148,42.06349206349207
Korean,4,Ton un iss.sup.nita mán un cikum kot pillye tulici nun mós hakeys.sup.nita,"I have the money, but I can't lend it to you right now.","I have money, but I can’t lend it to you right now.",detailed,61.42150942225169,80.65902366141006,80.75073964497041
Korean,5,"Wey kuleni, nwu ka miilla 'nun ka 'm?",What's your trouble—anyone keeping you from going?!,Why are you like that—who’s pushing you?,detailed,5.795599612995366,20.296955515839393,10.000000000000002
Korean,6,mo nata,is angular = is difficult in personality,It’s ugly.,detailed,0.0,3.448275862068966,0.0
Korean,7,silkhum ha-,be dislikable,do an experiment,detailed,0.0,6.720430107526881,0.0
Korean,8,sip wen khenyeng sip cen to mos put.keyss.tr,"We won't get ten cen, much less ten wen.","I couldn't even pay ten jeon, let alone ten won.",detailed,4.789232204309912,22.379955581760903,24.793388429752067
Korean,9,Salkem sallye cwii,Save me!,Tiptoe quietly.,"{'type': 'summary_text', 'text': '**Translating Korean nuances**\n\nI\'m considering the phrase ""살금살금 살려줘,"" which could mean ""Please spare it"" or ""just let it off easy."" The word ""살금살금"" suggests stealthily. So I think ""살금살금 살며시 쥐"" might work, translating to ""Grab it softly, gently."" While breaking it down, ""살며시"" means gently or quietly. I\'m figuring out the nuances and possible mis-typings, but I’ll go with ""Tiptoe quietly"" as a fitting translation for the first word.'}",0.0,3.968253968253968,0.0
Korean,10,Ku kes ul phalkeyss.nun ci mul.e polq ka,Shall we ask them if they will sell it?,Shall I ask whether he’ll sell that?,detailed,6.082317172853827,32.653173819031416,20.000000000000004
Korean,11,Ku lul mannaci mOs hayss.ta,I was unable to see him.,I couldn't meet him.,detailed,15.84873897212071,18.564057368011653,54.347826086956516
Korean,12,Yo say Kim sensayng tayk ey kanunq il i eps.ta,Lately we never go to Mr Kim's house.,These days I have no business going to Mr. Kim’s house.,detailed,8.737167851715874,29.929065108268798,42.88461538461539
Korean,13,Sayng tul i metri wi ey se cicetkelinun hamyen talam-cwi tul i tali mith e na kaki to hanta,Not only are there birds chirping overhead but also there are squirrels darting under foot.,"If the birds chirp up on the meter, the squirrels come out from under the bridge too.","{'type': 'summary_text', 'text': '**Rephrasing the observation**\n\nI\'m considering the phrase: ""When the birds chirp from the top of the meter, the squirrels also come out from under the bridge."" I wonder if ""meter"" should actually be ""tree,"" but that doesn\'t seem right either. \n\nOkay, let\'s adjust it to: ""If the birds chirp up on the meter, the squirrels come out from under the bridge too."" I think that flows better, so I\'ll go with that!'}",2.8629993657668873,35.44209327321506,26.158827539195634
Korean,14,"Elin ay ka yang cayq-mul ul sathang ulo filko mek.ulye tul,ess.ta","The baby was about to eat the caustic soda, thinking it was candy.",The child Elin tried to make the medicine into candy and eat it.,detailed,4.300779255833658,19.53132777146595,23.489932885906043
Korean,15,nay ka chinkwu tul motwu lul chotay hayss.tu,I invited all the friends.,I invited all my friends.,detailed,37.99178428257963,71.52731333757441,80.66666666666667
